pl_name,hostname,pl_letter,discoverymethod,disc_year,pl_orbper,pl_rade,pl_masse,sy_dist
Kepler-20 d,Kepler-20,d,Transit,2011,77.61184,2.75,20.1,282.563
Kepler-976 b,Kepler-976,b,Transit,2016,105.9564148,3.81,,1012.41
K2-151 b,K2-151,b,Transit,2018,3.835376,1.5,,69.4798
Kepler-61 b,Kepler-61,b,Transit,2013,59.87756,2.15,,335.079
WASP-58 b,WASP-58,b,Transit,2012,5.01718,15.35633,285.72917,290.404
Kepler-902 b,Kepler-902,b,Transit,2016,40.10999,3.0,,1165.34
Kepler-1295 b,Kepler-1295,b,Transit,2016,3.81371423,1.37,,1174.46
K2-369 b,K2-369,b,Transit,2022,5.7619248,1.37,,185.55
Kepler-647 c,Kepler-647,c,Transit,2020,29.66629667,2.7,,1087.87
Kepler-1552 b,Kepler-1552,b,Transit,2016,184.771853,2.17,,769.096
Kepler-1998 b,Kepler-1998,b,Transit,2023,3.03263998,0.69419998,,340.965
Kepler-1907 c,Kepler-1907,c,Transit,2021,14.86386959,7.44,,292.111
Kepler-480 b,Kepler-480,b,Transit,2016,4.919583795,2.43,,847.508
Kepler-150 d,Kepler-150,d,Transit,2014,12.56092796,2.671,,891.092
K2-232 b,K2-232,b,Transit,2018,11.168459,11.859122,123.00021,130.72
Kepler-1203 b,Kepler-1203,b,Transit,2016,0.5879933,1.01,,317.022
Kepler-1347 b,Kepler-1347,b,Transit,2016,14.00948631,0.98,,
Kepler-258 c,Kepler-258,c,Transit,2014,33.6529701,3.17,,575.988
Kepler-605 c,Kepler-605,c,Transit,2016,2.358951515,0.8,,556.58
Kepler-1521 b,Kepler-1521,b,Transit,2016,47.14840805,6.46,,206.983
Kepler-408 b,Kepler-408,b,Transit,2014,2.465031,0.78,,88.7832
Kepler-751 b,Kepler-751,b,Transit,2016,17.44490636,2.46,,760.43
Kepler-211 b,Kepler-211,b,Transit,2014,4.138536769,2.49,,309.353
TOI-2274 b,TOI-2274,b,Transit,2024,2.67961636447,1.83347689,,48.876
Kepler-1745 b,Kepler-1745,b,Transit,2021,3.016190052,1.92872921,,996.105
Kepler-367 c,Kepler-367,c,Transit,2014,53.5782,1.08,,188.027
TOI-1347 b,TOI-1347,b,Transit,2024,0.84742180175,1.75365438,,147.476
Kepler-252 b,Kepler-252,b,Transit,2014,6.66834872,1.2,,379.424
Kepler-271 b,Kepler-271,b,Transit,2014,10.43547805,1.32,,404.542
Kepler-1693 c,Kepler-1693,c,Transit,2021,5.363717,0.89,,760.065
Kepler-284 c,Kepler-284,c,Transit,2014,37.5140693,2.95,,1031.95
Kepler-1484 b,Kepler-1484,b,Transit,2016,30.4549136,2.3,,2879.83
Kepler-1997 b,Kepler-1997,b,Transit,2023,26.75749969,2.44300008,,1502.34
TOI-2048 b,TOI-2048,b,Transit,2022,13.7905315,2.60168,,116.567
K2-274 b,K2-274,b,Transit,2018,14.130142,2.41,,228.327
Kepler-398 d,Kepler-398,d,Transit,2016,6.83437001,0.85,,177.355
Kepler-151 c,Kepler-151,c,Transit,2014,24.67464211,2.09,,649.919
Kepler-304 b,Kepler-304,b,Transit,2014,3.295703644,3.8,,434.684
Kepler-625 b,Kepler-625,b,Transit,2016,7.75192755,1.89,,760.708
Kepler-1238 b,Kepler-1238,b,Transit,2016,4.14787559,1.57,,1632.13
Kepler-1981 b,Kepler-1981,b,Transit,2023,453.543999,3.71,,659.395
KOI-2513.01,KOI-2513,b,Transit,2023,19.00547,2.80224517,7310.053361,1369.87
Kepler-841 b,Kepler-841,b,Transit,2016,124.4198398,4.67,,998.961
Kepler-465 b,Kepler-465,b,Transit,2016,9.940666412,2.87,,553.077
Kepler-175 c,Kepler-175,c,Transit,2014,34.035257,3.1,,1312.34
Qatar-10 b,Qatar-10,b,Transit,2019,1.645321,17.295487,233.92288,559.068
Kepler-135 c,Kepler-135,c,Transit,2014,11.4485946,1.07,,621.855
Kepler-1695 b,Kepler-1695,b,Transit,2020,4.73292085,1.03,,791.175
CoRoT-12 b,CoRoT-12,b,Transit,2010,2.828042,15.13215,281.91521,1126.37
Kepler-825 b,Kepler-825,b,Transit,2016,3.773682,1.41,,807.85
K2-283 b,K2-283,b,Transit,2018,1.921076,3.8,,402.915
Kepler-196 d,Kepler-196,d,Transit,2021,122.0800018,2.66065673,,451.312
WASP-100 b,WASP-100,b,Transit,2014,2.849375,18.94321,645.1949,364.411
Kepler-708 b,Kepler-708,b,Transit,2016,3.167891938,2.87,,1394.22
Kepler-783 b,Kepler-783,b,Transit,2016,4.29263699,0.68,,516.09
Kepler-158 b,Kepler-158,b,Transit,2014,16.70920692,2.419,,315.177
Kepler-1534 b,Kepler-1534,b,Transit,2016,5.71668872,1.95,,
Kepler-1019 b,Kepler-1019,b,Transit,2016,1.411229847,1.36,,194.182
Kepler-578 b,Kepler-578,b,Transit,2016,1.616883696,2.54,,541.432
Kepler-443 b,Kepler-443,b,Transit,2015,177.669112,2.069,,802.271
Kepler-1894 b,Kepler-1894,b,Transit,2021,2.76263462,1.26,,935.191
Kepler-106 d,Kepler-106,d,Transit,2014,23.9802348,0.99,,444.322
Kepler-722 b,Kepler-722,b,Transit,2016,4.093573252,2.46,,1239.5
K2-381 b,K2-381,b,Transit,2022,7.939256,1.08322371,,145.701
Kepler-259 b,Kepler-259,b,Transit,2014,8.115313,2.9,,1002.14
WASP-60 b,WASP-60,b,Transit,2012,4.3050011,9.64,163.358,431.052
Kepler-194 b,Kepler-194,b,Transit,2014,2.092269993,1.48,,1097.97
HAT-P-29 b,HAT-P-29,b,Transit,2011,5.723186,12.408,247.261,313.576
Kepler-618 b,Kepler-618,b,Transit,2016,3.595769645,2.39,,1221.96
WASP-106 b,WASP-106,b,Transit,2014,9.289715,12.161765,606.73747,352.181
Kepler-712 c,Kepler-712,c,Transit,2016,226.89047,4.48,,872.493
Kepler-1096 b,Kepler-1096,b,Transit,2016,2.892217506,1.17,,377.976
Kepler-542 b,Kepler-542,b,Transit,2016,13.14497566,1.8,,436.016
Kepler-1188 b,Kepler-1188,b,Transit,2016,17.1369543,2.17,,1717.48
K2-381 c,K2-381,c,Transit,2022,16.034656,2.0,,145.701
KOI-984 b,KOI-984,b,Transit,2022,4.287455473,2.78,,252.667
Kepler-666 b,Kepler-666,b,Transit,2016,4.49876092,2.21,,1508.71
Kepler-1875 b,Kepler-1875,b,Transit,2021,34.4584231,2.01,,1660.45
Kepler-326 c,Kepler-326,c,Transit,2014,4.58,2.79,17.4,487.675
Kepler-9 b,Kepler-9,b,Transit,2010,19.243,8.2,43.5,628.257
Kepler-400 b,Kepler-400,b,Transit,2014,9.024389,1.65,,845.97
Kepler-1408 b,Kepler-1408,b,Transit,2016,2.99793191,0.84,,535.048
Kepler-1365 b,Kepler-1365,b,Transit,2016,7.699939,0.75,,840.128
Kepler-1135 b,Kepler-1135,b,Transit,2016,76.9611,2.07,,1314.64
Kepler-1087 b,Kepler-1087,b,Transit,2016,0.693842855,0.61,,362.623
Kepler-370 b,Kepler-370,b,Transit,2014,4.57950946,1.526,,1167.94
K2-73 b,K2-73,b,Transit,2016,7.49543,2.45,,269.183
K2-85 b,K2-85,b,Transit,2016,0.684557,1.37,,97.2179
Kepler-547 b,Kepler-547,b,Transit,2016,6.010383339,3.8,,378.972
Kepler-146 c,Kepler-146,c,Transit,2014,76.7325168,2.91,,716.797
KOI-1257 b,KOI-1257,b,Transit,2014,86.64764448,9.4,,
Kepler-1941 b,Kepler-1941,b,Transit,2021,31.3351397,1.99,,1494.39
HATS-45 b,HATS-45,b,Transit,2018,4.1876153815,13.90023688,,772.11
Kepler-1836 b,Kepler-1836,b,Transit,2021,5.254169941,2.55303229,,1472.62
K2-79 b,K2-79,b,Transit,2016,10.993948,3.14685573,,256.011
Kepler-549 c,Kepler-549,c,Transit,2016,117.040498,2.93,,635.145
Kepler-189 b,Kepler-189,b,Transit,2014,10.40006,1.17,,591.534
Kepler-171 b,Kepler-171,b,Transit,2014,4.166962173,2.44,,863.855
Kepler-1481 b,Kepler-1481,b,Transit,2016,5.94220998,1.27,,459.076
Kepler-302 c,Kepler-302,c,Transit,2014,127.282184,12.45,,1402.58
Kepler-755 b,Kepler-755,b,Transit,2016,1.269090374,1.78,,399.034
TOI-1136 e,TOI-1136,e,Transit,2022,18.80693,2.5456702,24.0,84.5362
Kepler-803 b,Kepler-803,b,Transit,2016,50.28638192,3.2,,639.771
Kepler-271 b,Kepler-271,b,Transit,2014,10.43547805,1.247,,404.542
Kepler-68 c,Kepler-68,c,Transit,2013,9.604869,1.11,,144.166
Kepler-129 c,Kepler-129,c,Transit,2014,82.1997,2.04,,408.845
Kepler-1392 b,Kepler-1392,b,Transit,2016,15.1410397,2.04,,
Kepler-1729 b,Kepler-1729,b,Transit,2021,4.220970154,3.89404186,,576.181
